date,price,address,street,locality,settlement,postcode,postcode_district,category,property_type,new_build,tenure,district,settlement_zone,in_search_geography,residential_comparable,exclusion_reason,txn_id,url
2019-10-22,775000,"THORPE HOUSE, RECTORY LANE, ADDLETHORPE, SKEGNESS, PE24 4TH",RECTORY LANE,ADDLETHORPE,ADDLETHORPE,PE24 4TH,PE24,A,Detached,no,freehold,EAST LINDSEY,coastal_out,no,yes,,98C75472-0071-72E9-E053-6B04A8C042F0,http://landregistry.data.gov.uk/data/ppi/transaction/98C75472-0071-72E9-E053-6B04A8C042F0/current
2021-12-03,575000,"ADDLETHORPE HOUSE, ORBY ROAD, ADDLETHORPE, SKEGNESS, PE24 4TL",ORBY ROAD,ADDLETHORPE,ADDLETHORPE,PE24 4TL,PE24,A,Detached,no,freehold,EAST LINDSEY,coastal_out,no,yes,,D707E535-81C7-0AD9-E053-6B04A8C067CC,http://landregistry.data.gov.uk/data/ppi/transaction/D707E535-81C7-0AD9-E053-6B04A8C067CC/current
2022-11-11,1349998,"POPLAR FARM, CHAPEL LANE, ADDLETHORPE, SKEGNESS, PE24 4TG",CHAPEL LANE,ADDLETHORPE,ADDLETHORPE,PE24 4TG,PE24,B,Other,no,freehold,EAST LINDSEY,coastal_out,no,no,category_B_not_full_market_value; non_residential_type_O,FD226036-923D-4CB7-E053-4804A8C00430,http://landregistry.data.gov.uk/data/ppi/transaction/FD226036-923D-4CB7-E053-4804A8C00430/current
2023-01-06,570000,"ROSELYN, MILL LANE, ADDLETHORPE, SKEGNESS, PE24 4TB",MILL LANE,ADDLETHORPE,ADDLETHORPE,PE24 4TB,PE24,B,Other,no,freehold,EAST LINDSEY,coastal_out,no,no,category_B_not_full_market_value; non_residential_type_O,2ACACE8D-8FD1-295E-E063-4804A8C0B0EB,http://landregistry.data.gov.uk/data/ppi/transaction/2ACACE8D-8FD1-295E-E063-4804A8C0B0EB/current
2017-07-19,750000,"33, WEST STREET, ALFORD, ALFORD, LN13 9DQ",WEST STREET,,ALFORD,LN13 9DQ,LN13,B,Other,no,freehold,EAST LINDSEY,town,no,no,category_B_not_full_market_value; non_residential_type_O,6B32222C-FB2C-01F1-E053-6C04A8C0D2C8,http://landregistry.data.gov.uk/data/ppi/transaction/6B32222C-FB2C-01F1-E053-6C04A8C0D2C8/current
2018-05-16,2500000,"BRIDGEWAYS, WILLOUGHBY ROAD, ALFORD, ALFORD, LN13 9AT",WILLOUGHBY ROAD,,ALFORD,LN13 9AT,LN13,B,Detached,no,freehold,EAST LINDSEY,town,no,no,category_B_not_full_market_value,6DA0844A-B909-30F2-E053-6B04A8C05F3B,http://landregistry.data.gov.uk/data/ppi/transaction/6DA0844A-B909-30F2-E053-6B04A8C05F3B/current
2022-12-20,568000,"THE OLD STATION BUILDING, STATION ROAD, ALFORD, ALFORD, LN13 9JA",STATION ROAD,,ALFORD,LN13 9JA,LN13,B,Other,no,freehold,EAST LINDSEY,town,no,no,category_B_not_full_market_value; non_residential_type_O,0E082197-72C9-5C09-E063-4704A8C0A10E,http://landregistry.data.gov.uk/data/ppi/transaction/0E082197-72C9-5C09-E063-4704A8C0A10E/current
2023-09-22,600000,"15, PARK LANE, ALFORD, ALFORD, LN13 9DN",PARK LANE,,ALFORD,LN13 9DN,LN13,A,Detached,no,freehold,EAST LINDSEY,town,no,yes,,1061746E-20EC-3C34-E063-4804A8C0F9E7,http://landregistry.data.gov.uk/data/ppi/transaction/1061746E-20EC-3C34-E063-4804A8C0F9E7/current
2024-03-28,710000,"1, HARWICK COURT, BEECHINGS WAY, ALFORD, ALFORD, LN13 9BU",BEECHINGS WAY,,ALFORD,LN13 9BU,LN13,B,Other,no,freehold,EAST LINDSEY,town,no,no,category_B_not_full_market_value; non_residential_type_O,2131FCF6-D7DF-86E8-E063-4804A8C0372B,http://landregistry.data.gov.uk/data/ppi/transaction/2131FCF6-D7DF-86E8-E063-4804A8C0372B/current
2024-11-01,700000,"26, STATION ROAD, ALFORD, ALFORD, LN13 9JB",STATION ROAD,,ALFORD,LN13 9JB,LN13,A,Detached,no,freehold,EAST LINDSEY,town,no,yes,,4C1B673F-51BE-D8EA-E063-4704A8C0BF7D,http://landregistry.data.gov.uk/data/ppi/transaction/4C1B673F-51BE-D8EA-E063-4704A8C0BF7D/current
